id_lokasi,dmgratio_cr_mflux5,dmgratio_cr_mflux2,dmgratio_lightwood_mflux5,dmgratio_lightwood_mflux2,dmgratio_mcf_mflux5,dmgratio_mcf_mflux2,dmgratio_mur_mflux5,dmgratio_mur_mflux2
1925815.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925816.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925817.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925818.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925819.0,,1.0,,1.0,,1.0,,1.0
1925820.0,,1.0,,1.0,,1.0,,1.0
1925821.0,,1.0,,1.0,,1.0,,1.0
1925822.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925823.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925824.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925825.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925826.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925827.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925828.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925829.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925831.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925832.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925833.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925834.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925835.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925836.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925837.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925838.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925839.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925840.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925841.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925842.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925843.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925845.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925846.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925847.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925848.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925849.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925850.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925851.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925852.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925853.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925854.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925855.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925856.0,,1.0,,1.0,,1.0,,1.0
1925857.0,,1.0,,1.0,,1.0,,1.0
1925858.0,,1.0,,1.0,,1.0,,1.0
1925859.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925860.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925861.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925862.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925863.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925864.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925865.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925866.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925867.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925868.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925869.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925870.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925871.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925872.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925873.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925874.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925875.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925876.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925877.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925878.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925879.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925880.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925881.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925882.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925883.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925884.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925885.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925886.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925887.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925888.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925889.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925890.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925891.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925892.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925893.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925894.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925896.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925897.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925898.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925899.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925900.0,,1.0,,1.0,,1.0,,1.0
1925901.0,,1.0,,1.0,,1.0,,1.0
1925902.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925903.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925904.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925905.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925906.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925907.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925908.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925909.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925910.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925911.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925912.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925913.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925914.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925915.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925916.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925917.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925918.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925919.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1925920.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
